LoginHour,SessionDuration,CommandsCount,FailedLogins,Protocol,TypingSpeed,Label
7,80,15,1,HTTPS,36,0
21,32,27,0,HTTPS,43,0
0,203,27,5,SSH,88,1
19,11,10,3,HTTPS,39,0
5,86,20,4,HTTPS,114,1
4,71,44,5,HTTPS,119,1
4,220,38,5,HTTPS,64,1
3,134,20,2,TOR,84,1
5,101,38,3,HTTPS,77,1
17,28,10,1,HTTPS,54,0
3,143,18,2,TOR,111,1
4,76,28,5,TOR,80,1
23,161,44,2,SSH,75,1
15,77,27,3,HTTPS,38,0
8,22,7,1,SSH,80,0
16,26,24,3,SSH,59,0
15,12,7,2,FTP,51,0
22,100,44,1,TOR,116,1
15,55,32,0,FTP,49,0
15,60,9,2,FTP,64,0
21,10,20,3,HTTPS,89,0
4,121,18,2,TOR,120,1
23,77,49,2,HTTPS,90,1
9,77,33,3,TOR,89,0
18,61,19,3,TOR,71,0
23,90,30,2,HTTPS,61,1
10,66,0,0,FTP,33,0
0,144,19,5,HTTPS,102,1
15,43,30,1,FTP,81,0
1,84,42,3,SSH,89,1
7,35,3,3,FTP,81,0
10,59,12,3,HTTPS,41,0
3,79,43,5,HTTPS,101,1
20,13,5,1,HTTPS,61,0
20,112,3,1,HTTPS,54,0
23,133,42,5,TOR,91,1
4,115,18,5,TOR,63,1
7,22,30,1,HTTPS,62,0
2,77,19,2,SSH,120,1
10,20,5,3,SSH,66,0
21,76,13,2,HTTPS,55,0
4,177,35,1,HTTPS,99,1
8,28,34,1,SSH,38,0
21,27,15,2,HTTPS,58,0
18,87,33,0,SSH,65,0
1,94,31,1,TOR,107,1
11,82,13,2,HTTPS,70,0
15,135,16,0,HTTPS,57,0
7,10,21,1,SSH,46,0
23,201,42,5,HTTPS,64,1
18,48,34,0,FTP,67,0
13,42,2,2,HTTPS,89,0
20,20,22,1,SSH,72,0
22,218,24,2,TOR,111,1
21,115,1,1,FTP,51,0
13,73,17,1,FTP,36,0
0,180,29,2,TOR,89,1
3,117,16,2,SSH,77,1
19,81,22,3,SSH,83,0
7,39,16,1,SSH,46,0
22,148,35,4,FTP,92,1
3,125,17,4,HTTPS,119,1
17,60,23,3,HTTPS,72,0
16,90,7,2,SSH,72,0
22,135,50,2,HTTPS,102,1
17,54,19,3,SSH,30,0
3,170,35,4,SSH,103,1
23,103,20,3,FTP,100,1
8,70,19,1,FTP,39,0
3,181,19,4,SSH,100,1
18,108,31,3,HTTPS,71,0
21,37,27,1,HTTPS,74,0
7,73,7,3,HTTPS,59,0
15,91,28,3,FTP,65,0
2,181,43,3,TOR,113,1
19,134,15,2,SSH,75,0
4,145,35,5,HTTPS,69,1
2,114,19,4,SSH,94,1
7,62,26,3,TOR,67,0
7,107,30,0,TOR,49,0
20,117,34,1,SSH,47,0
0,159,36,4,TOR,113,1
9,16,25,0,HTTPS,57,0
23,106,18,3,SSH,73,1
12,107,17,3,HTTPS,35,0
18,23,22,1,SSH,79,0
7,17,15,1,FTP,69,0
2,181,22,5,TOR,89,1
19,104,10,0,FTP,40,0
8,16,19,3,HTTPS,75,0
3,86,34,5,TOR,110,1
19,20,22,3,SSH,34,0
12,13,26,3,HTTPS,53,0
20,127,9,3,HTTPS,63,0
11,133,29,3,FTP,67,0
3,82,32,4,HTTPS,89,1
17,107,21,0,SSH,50,0
3,150,31,3,SSH,98,1
11,12,33,1,HTTPS,76,0
3,181,46,4,TOR,65,1
22,122,34,5,SSH,95,1
13,94,22,3,HTTPS,46,0
3,140,22,5,TOR,104,1
3,183,32,5,TOR,93,1
8,59,18,1,HTTPS,49,0
2,130,17,1,FTP,104,1
17,135,6,0,SSH,60,0
12,57,3,2,TOR,60,0
1,162,46,1,FTP,103,1
2,204,34,1,TOR,67,1
13,67,33,3,SSH,58,0
22,138,18,5,TOR,66,1
10,64,16,0,HTTPS,41,0
9,10,26,3,SSH,60,0
3,133,33,4,HTTPS,74,1
19,60,27,0,SSH,71,0
4,96,19,1,HTTPS,79,1
20,83,28,0,SSH,49,0
11,138,34,3,SSH,68,0
22,142,31,1,HTTPS,103,1
16,15,17,0,FTP,41,0
17,123,17,1,TOR,57,0
14,33,30,2,SSH,50,0
20,51,21,3,SSH,48,0
13,19,29,0,HTTPS,50,0
22,191,15,5,SSH,63,1
5,219,46,4,TOR,73,1
2,133,43,4,HTTPS,100,1
10,50,19,0,SSH,35,0
1,178,22,2,SSH,105,1
4,166,45,4,HTTPS,95,1
3,213,47,2,TOR,77,1
20,116,21,2,FTP,48,0
20,135,9,3,SSH,52,0
22,176,35,2,TOR,75,1
10,115,2,2,FTP,75,0
13,108,9,3,TOR,38,0
16,94,6,3,HTTPS,88,0
18,46,26,1,HTTPS,80,0
12,111,5,2,FTP,84,0
12,134,34,0,SSH,45,0
21,83,14,0,SSH,36,0
18,35,28,1,SSH,87,0
5,74,33,3,SSH,69,1
22,204,26,2,HTTPS,99,1
16,71,31,1,HTTPS,70,0
4,62,44,3,TOR,70,1
5,210,34,4,TOR,89,1
10,108,30,0,HTTPS,66,0
4,135,16,4,SSH,96,1
19,22,31,2,FTP,44,0
12,66,12,2,SSH,76,0
17,45,6,0,HTTPS,58,0
5,93,20,3,SSH,86,1
2,198,38,5,FTP,77,1
11,133,18,2,FTP,59,0
9,67,25,2,HTTPS,55,0
1,176,38,3,FTP,112,1
12,37,14,3,HTTPS,86,0
12,66,4,3,TOR,49,0
8,45,2,0,HTTPS,61,0
